# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	35298
#@/user_id	527937a2-03e0-4f4e-be0c-19d4f0f5bc3e
a 	啊	c=205 d=1.40275 t=35298
xuan 	玄	c=4 d=9.52642e-37 t=35298
xuan 	選	c=8 d=0.965605 t=35298
xuan chuan 	宣傳	c=1 d=0.286505 t=35298
xuan fei 	选妃	c=1 d=0.527292 t=35298
xuan hai 	玄骸	c=1 d=1.28176e-38 t=35298
xuan ku 	炫酷	c=1 d=4.08817e-07 t=35298
xuan ran 	渲染	c=5 d=0.529935 t=35298
xuan xiang 	選項	c=1 d=1.26139e-26 t=35298
xuan ze 	選擇	c=18 d=0.000174253 t=35298
xuan zhong 	選中	c=6 d=9.28059e-05 t=35298
xue 	學	c=15 d=0.000867407 t=35298
xue de 	學得	c=1 d=2.95482e-11 t=35298
xue hao 	學好	c=1 d=4.74977e-07 t=35298
xue hui 	學會	c=1 d=9.7276e-29 t=35298
xue shang jia shuang 	雪上加霜	c=1 d=7.87004e-36 t=35298
xue shi yuan bo 	學識淵博	c=1 d=1.92541e-31 t=35298
xue wu zhi jing 	學無止境	c=1 d=9.5285e-21 t=35298
xue xi 	學習	c=6 d=4.04979e-07 t=35298
xue xiao ban 	血小板	c=1 d=7.32673e-18 t=35298
xun 	訊	c=2 d=1.50649e-28 t=35298
xun huan 	循環	c=1 d=3.483e-34 t=35298
xun lei 	迅雷	c=9 d=1.23472e-06 t=35298
xun qiu 	尋求	c=1 d=2.449e-08 t=35298
xun wen 	詢問	c=5 d=3.87843e-12 t=35298
ya 	丫	c=1 d=1.9241e-23 t=35298
ya 	壓	c=4 d=5.77345e-09 t=35298
ya 	牙	c=9 d=0.11346 t=35298
ya 	雅	c=3 d=5.14624e-09 t=35298
ya chi 	牙齒	c=1 d=6.93464e-18 t=35298
ya gao 	牙膏	c=1 d=0.00110822 t=35298
ya jie jing 	氩结晶	c=1 d=5.60089e-05 t=35298
ya jing miao ju 	氩晶瞄具	c=1 d=0.0185924 t=35298
ya li 	壓力	c=2 d=2.5358e-06 t=35298
ya li shan da 	亞歷山大	c=2 d=0.000901149 t=35298
ya po dian 	压迫点	c=2 d=0.0242195 t=35298
ya shen jing 	牙神經	c=1 d=7.93699e-18 t=35298
ya shua 	牙刷	c=1 d=0.00104891 t=35298
ya suo 	壓縮	c=10 d=0.100912 t=35298
ya wei 	牙位	c=1 d=1.60878e-35 t=35298
ya zhou 	亞洲	c=3 d=3.59534e-25 t=35298
yan 	演	c=1 d=1.63877e-17 t=35298
yan 	眼	c=1 d=1.48873e-05 t=35298
yan 	言	c=1 d=3.96316e-24 t=35298
yan chang 	延長	c=1 d=7.48646e-07 t=35298
yan chi 	延遲	c=6 d=0.0268144 t=35298
yan fa 	研發	c=2 d=0.119433 t=35298
yan ge 	嚴格	c=2 d=9.72262e-23 t=35298
yan hai 	沿海	c=3 d=1.46331e-05 t=35298
yan jing 	眼睛	c=2 d=0.000754089 t=35298
yan jing 	眼鏡	c=1 d=1.4595e-07 t=35298
yan se 	顏色	c=2 d=0.00210172 t=35298
yan wu 	延誤	c=2 d=0.00600599 t=35298
yan xu 	延續	c=2 d=2.93767e-23 t=35298
yan zheng 	驗證	c=8 d=1.86873e-07 t=35298
yan zheng ma 	驗證碼	c=15 d=2.22097e-05 t=35298
yan zhi 	顏值	c=1 d=0.299692 t=35298
yan zhong 	嚴重	c=2 d=0.0294518 t=35298
yan zhuo 	眼拙	c=1 d=0.000816895 t=35298
yang 	樣	c=7 d=0.00167987 t=35298
yang 	癢	c=1 d=0.00202943 t=35298
yang 	羊	c=1 d=5.47768e-08 t=35298
yang 	養	c=9 d=0.421304 t=35298
yang da 	養大	c=1 d=0.00279479 t=35298
yang guang 	陽光	c=2 d=4.02867e-11 t=35298
yang li 	樣例	c=1 d=1.26487e-29 t=35298
yang mao 	羊毛	c=5 d=1.104e-08 t=35298
yang pin 	樣品	c=1 d=3.45139e-15 t=35298
yang shi 	央視	c=1 d=2.69298e-37 t=35298
yang shi 	樣式	c=13 d=1.60603 t=35298
yang tai 	陽臺	c=4 d=3.94917e-11 t=35298
yang zhu 	養豬	c=4 d=7.89458e-12 t=35298
yang zi 	樣子	c=3 d=0.00708341 t=35298
yao 	腰	c=1 d=2.75598e-15 t=35298
yao 	藥	c=1 d=1.21949e-11 t=35298
yao 	要	c=209 d=2.87228 t=35298
yao bai 	搖擺	c=1 d=0.000958635 t=35298
yao bu 	要不	c=2 d=4.20251e-08 t=35298
yao bu ran 	要不然	c=1 d=7.7745e-10 t=35298
yao ji lao sun 	腰肌勞損	c=1 d=5.48998e-05 t=35298
yao me 	要麼	c=2 d=8.74814e-08 t=35298
yao qing 	邀請	c=24 d=0.0469536 t=35298
yao qing ma 	邀請碼	c=1 d=2.86058e-12 t=35298
yao qing ren 	邀請人	c=1 d=0.000335463 t=35298
yao qing wo 	邀請我	c=1 d=3.49261e-37 t=35298
yao qiu 	要求	c=12 d=0.0781189 t=35298
yao qu 	要去	c=1 d=9.88169e-08 t=35298
yao sai 	要塞	c=2 d=0.26045 t=35298
yao shi 	鑰匙	c=2 d=0.0108457 t=35298
yao tou 	搖頭	c=1 d=0.000978001 t=35298
yao wan 	💊	c=2 d=7.22773e-05 t=35298
yao you 	要有	c=2 d=0.377211 t=35298
ye 	也	c=77 d=0.152398 t=35298
ye 	夜	c=2 d=4.82073e-05 t=35298
ye 	爺	c=2 d=2.87344e-06 t=35298
ye 	野	c=2 d=1.87597e-38 t=35298
ye 	頁	c=25 d=0.00798732 t=35298
ye deng 	夜燈	c=1 d=0.00109172 t=35298
ye guai 	野怪	c=1 d=8.09156e-39 t=35298
ye hao 	也好	c=1 d=2.1452e-38 t=35298
ye hui 	也會	c=2 d=0.111917 t=35298
ye jian 	夜間	c=1 d=1.50287e-28 t=35298
ye jiu 	也就	c=4 d=0.0149961 t=35298
ye mao zi 	夜貓子	c=1 d=1.9589e-28 t=35298
ye mian 	頁面	c=61 d=0.539536 t=35298
ye qu 	夜曲	c=1 d=6.57831e-15 t=35298
ye sheng huo 	夜生活	c=1 d=3.15165e-05 t=35298
ye shi 	也是	c=13 d=0.0234005 t=35298
ye shu 	頁數	c=3 d=1.11974e-07 t=35298
ye wu 	業務	c=3 d=7.91245e-11 t=35298
ye xing 	也行	c=2 d=0.0001111 t=35298
ye xu 	也許	c=1 d=1 t=34520
ye yao 	也要	c=2 d=0.00096344 t=35298
ye you 	也有	c=3 d=3.72792e-10 t=35298
ye zai 	也在	c=2 d=0.000269215 t=35298
yi 	一	c=32 d=0.147327 t=35298
yi 	以	c=6 d=0.0269169 t=35298
yi 	億	c=3 d=4.0711e-09 t=35298
yi 	已	c=29 d=0.687021 t=35298
yi 	異	c=1 d=0.677057 t=35298
yi 	翼	c=1 d=1.00441e-21 t=35298
yi 	衣	c=2 d=1.62622e-07 t=35298
yi ban 	一半	c=1 d=0.00869506 t=35298
yi ban 	一版	c=1 d=1.93539e-33 t=35298
yi ban 	一般	c=30 d=0.00256058 t=35298
yi bao 	一包	c=2 d=0.000450714 t=35298
yi bao 	醫保	c=0 d=0.000377257 t=35298
yi bao ka 	醫保卡	c=1 d=0.00379148 t=35298
yi bei zi 	一輩子	c=2 d=0.00162053 t=35298
yi bi 	一筆	c=1 d=8.89975e-12 t=35298
yi bian 	一遍	c=5 d=0.000754089 t=35298
yi bo 	一波	c=12 d=0.00400585 t=35298
yi bu 	異步	c=2 d=0.22091 t=35298
yi ceng 	一層	c=1 d=4.22861e-22 t=35298
yi chang 	異常	c=11 d=0.918825 t=35298
yi chang chuan 	一長傳	c=1 d=6.58971e-06 t=35298
yi chu 	移除	c=1 d=7.51607e-24 t=35298
yi ci 	一次	c=22 d=0.00802655 t=35298
yi ci 	依次	c=2 d=0.0040461 t=35298
yi ci xing 	一次性	c=2 d=3.97761e-08 t=35298
yi dan 	一单	c=1 d=5.07391e-19 t=35298
yi dan 	一旦	c=3 d=0.138069 t=35298
yi di 	一滴	c=1 d=3.2197e-21 t=35298
yi dian 	一點	c=8 d=0.127976 t=35298
yi ding 	一定	c=3 d=0.00479587 t=35298
yi dong 	移動	c=15 d=4.82395e-05 t=35298
yi dong duan 	移動端	c=3 d=3.65484e-12 t=35298
yi dong ying pan 	移動硬盤	c=1 d=1.61103e-22 t=35298
yi duan 	一段	c=5 d=0.500085 t=35298
yi dui 	一堆	c=3 d=0.000911919 t=35298
yi dun 	一頓	c=2 d=3.75503e-07 t=35298
yi dun fan 	一頓飯	c=1 d=0.00740944 t=35298
yi fang wan yi 	以防萬一	c=1 d=0.00286554 t=35298
yi fen 	一份	c=2 d=1.67854e-05 t=35298
yi fen zhong 	一分鐘	c=1 d=3.51142e-12 t=35298
yi fu 	衣服	c=6 d=0.00778941 t=35298
yi ge 	一個	c=142 d=0.65396 t=35298
yi ge ge 	一個個	c=4 d=0.0137736 t=35298
yi ge ren 	一個人	c=5 d=0.00840589 t=35298
yi ge yue 	一個月	c=6 d=5.59082e-11 t=35298
yi gen 	一根	c=1 d=1.14232e-36 t=35298
yi gong 	一共	c=5 d=0.00487576 t=35298
yi gui 	衣櫃	c=1 d=0.00260584 t=35298
yi hang 	一行	c=2 d=6.4325e-16 t=35298
yi he 	一盒	c=1 d=8.51101e-16 t=35298
yi hou 	以後	c=12 d=0.11803 t=35298
yi hui er 	一會兒	c=2 d=2.96664e-24 t=35298
yi ji 	一級	c=2 d=3.30748e-05 t=35298
yi ji 	以及	c=2 d=1.31086e-08 t=35298
yi jia 	一家	c=2 d=2.67918e-06 t=35298
yi jia 	衣架	c=1 d=1.28534e-12 t=35298
yi jian 	一間	c=1 d=3.9035e-22 t=35298
yi jian 	意見	c=14 d=3.02501 t=34228
yi jin 	一斤	c=1 d=1.47417e-07 t=35298
yi jing 	已經	c=75 d=1.43402 t=35298
yi jiu 	已久	c=1 d=1.36459e-10 t=35298
yi ju 	一句	c=3 d=0.0695994 t=35298
yi ju hua 	一句話	c=2 d=1.12631e-17 t=35298
yi kan 	一看	c=1 d=7.49664e-23 t=35298
yi kao 	依靠	c=1 d=1.38374e-27 t=35298
yi kuai 	一塊	c=7 d=0.166127 t=35298
yi kuai qian 	一塊錢	c=1 d=4.03911e-12 t=35298
yi kuang chao liang 	异况超量	c=2 d=0.000242538 t=35298
yi lai 	依賴	c=1 d=5.83841e-23 t=35298
yi liao 	醫療	c=1 d=2.95732e-21 t=35298
yi liu 	遺留	c=1 d=1 t=31845
yi mei 	一枚	c=1 d=0.000213901 t=35298
yi mian 	以免	c=1 d=5.43815e-11 t=35298
yi mu 	一畝	c=1 d=1.01074e-08 t=35298
yi nei 	以內	c=1 d=7.81082e-06 t=35298
yi nian 	一年	c=17 d=0.276864 t=35298
yi pi 	一批	c=5 d=0.185736 t=35298
yi pian 	一片	c=4 d=0.0127147 t=35298
yi qi 	一起	c=18 d=0.162026 t=35298
yi qi he cheng 	一氣呵成	c=1 d=6.84328e-09 t=35298
yi qian 	以前	c=19 d=1.0656 t=35298
yi qie 	一切	c=2 d=0.00228818 t=35298
yi qing 	疫情	c=4 d=0.324652 t=35298
yi quan 	一圈	c=2 d=0.215456 t=35298
yi qun 	一羣	c=2 d=0.00222055 t=35298
yi qun ren 	一羣人	c=1 d=1 t=34076
yi ren 	藝人	c=1 d=0.000365224 t=35298
yi shang 	以上	c=3 d=1.63343e-08 t=35298
yi sheng 	一生	c=1 d=2.02591e-12 t=35298
yi sheng 	一聲	c=4 d=0.860708 t=35298
yi sheng 	醫生	c=2 d=1.41026e-15 t=35298
yi shi 	疑似	c=1 d=6.58951e-35 t=35298
yi shi yi ting 	一室一廳	c=1 d=4.47849e-21 t=35298
yi si 	意思	c=6 d=0.585669 t=35298
yi tao 	一套	c=7 d=0.00390376 t=35298
yi tian 	一天	c=13 d=0.540652 t=35298
yi tiao 	一條	c=8 d=0.582136 t=35298
yi tong 	一統	c=1 d=6.54439e-13 t=35298
yi tou 	一頭	c=1 d=1.86983e-10 t=35298
yi tu 	意圖	c=1 d=1.73892e-09 t=35298
yi tuo 	一拖	c=1 d=4.21338e-09 t=35298
yi wan 	一碗	c=1 d=9.10146e-11 t=35298
yi wei 	一維	c=2 d=6.24705e-23 t=35298
yi wei 	以爲	c=4 d=0.00123091 t=35298
yi wu 	衣物	c=1 d=8.50523e-08 t=35298
yi wu 	遺物	c=1 d=5.85653e-30 t=35298
yi xi lie 	一系列	c=1 d=2.39342e-32 t=35298
yi xia 	一下	c=102 d=1.03709 t=35298
yi xia 	以下	c=1 d=3.44845e-05 t=35298
yi xiang 	一箱	c=1 d=2.1901e-17 t=35298
yi xiang 	一項	c=1 d=1.96096e-11 t=35298
yi xiao shi 	一小時	c=1 d=8.25524e-10 t=35298
yi xie 	一些	c=8 d=1.01809e-05 t=35298
yi xing qi 	一星期	c=1 d=1.96063e-09 t=35298
yi yan 	一眼	c=1 d=0.000825104 t=35298
yi yang 	一樣	c=36 d=0.548658 t=35298
yi ye 	一頁	c=1 d=4.73993e-12 t=35298
yi ye qing 	一夜情	c=1 d=3.23143e-05 t=35298
yi yi 	意義	c=1 d=8.1631e-25 t=35298
yi yong 	醫用	c=1 d=3.93938e-12 t=35298
yi you 	已有	c=1 d=6.41151e-07 t=35298
yi yu zheng 	抑鬱症	c=1 d=4.78512e-06 t=35298
yi yuan 	醫院	c=3 d=3.2031e-19 t=35298
yi zhang 	一張	c=6 d=0.0268791 t=35298
yi zhao 	依照	c=1 d=2.49108e-32 t=35298
yi zhen 	義診	c=3 d=4.81119e-35 t=35298
yi zheng tao 	一整套	c=1 d=3.89818e-06 t=35298
yi zhi 	一直	c=17 d=0.00583038 t=35298
yi zhi 	一致	c=2 d=1.86437e-05 t=35298
yi zhi 	一隻	c=3 d=0.413041 t=35298
yi zhi fu 	翼支付	c=4 d=9.50671e-10 t=35298
yi zhong 	一種	c=1 d=0.0911727 t=35298
yi zu 	一組	c=3 d=2.77009e-08 t=35298
yin 	印	c=1 d=0.0116203 t=35298
yin 	銀	c=4 d=1.21213e-08 t=35298
yin 	音	c=1 d=4.65637e-38 t=35298
yin biao 	音標	c=1 d=0.0205478 t=35298
yin cang 	隱藏	c=5 d=0.051808 t=35298
yin dao 	引導	c=1 d=4.24389e-35 t=35298
yin hang 	銀行	c=22 d=1.62594e-05 t=35298
yin hang ka 	銀行卡	c=1 d=2.20791e-24 t=35298
yin mou lun 	陰謀論	c=1 d=6.84908e-19 t=35298
yin ren er yi 	因人而異	c=1 d=2.95985e-31 t=35298
yin ru 	引入	c=8 d=9.05145e-05 t=35298
yin shen 	隱身	c=1 d=0.0184997 t=35298
yin si 	隱私	c=4 d=2.32541e-09 t=35298
yin wei 	因爲	c=14 d=0.126523 t=35298
yin xiang 	印象	c=1 d=0.196912 t=35298
yin yin yue yue 	隱隱約約	c=0 d=5.37928e-31 t=35298
yin yin yue yue yin yin yue yue yin yin yue yue yin yin yue yue yin yin yue yue yin yin yue yue yin yin yue yue yin yin yue yue yin yin yue yue yin yin yue yue 	隱隱約約隱隱約約隱隱約約隱隱約約隱隱約約隱隱約約隱隱約約隱隱約約隱隱約約隱隱約約	c=1 d=5.40625e-30 t=35298
yin yong 	引用	c=1 d=3.00621e-08 t=35298
yin yue 	音樂	c=2 d=1.34034e-05 t=35298
ying 	硬	c=1 d=1.41757e-17 t=35298
ying de 	應得	c=1 d=1.16865e-10 t=35298
ying fu 	應付	c=2 d=2.88487e-23 t=35298
ying gai 	應該	c=37 d=0.329122 t=35298
ying li 	盈利	c=1 d=3.22748e-20 t=35298
ying pan 	硬盤	c=13 d=0.0019114 t=35298
ying shi 	影視	c=4 d=1.27906e-05 t=35298
ying shi 	硬是	c=1 d=1.49462e-22 t=35298
ying tao 	櫻桃	c=4 d=2.76078e-06 t=35298
ying wen 	英文	c=14 d=0.0958994 t=35298
ying xiang 	影響	c=7 d=3.46632e-07 t=35298
ying xiao 	營銷	c=2 d=0.000190664 t=35298
ying xiong lian meng 	英雄联盟	c=1 d=0.0488012 t=35298
ying yong 	應用	c=2 d=0.00012909 t=35298
ying yu 	英語	c=2 d=8.89824e-10 t=35298
yo 	喲	c=0 d=0.0045275 t=35298
yo ge nong hu 	喲個農戶	c=1 d=9.73289e-06 t=35298
yo gei ni 	喲給你	c=1 d=1 t=34680
yong 	永	c=1 d=6.85982e-08 t=35298
yong 	用	c=127 d=1.31162 t=35298
yong bu dao 	用不到	c=1 d=1.15482e-17 t=35298
yong bu wan 	用不完	c=2 d=2.07289e-17 t=35298
yong chang 	用場	c=1 d=0.00100779 t=35298
yong chu 	用處	c=1 d=3.4377e-27 t=35298
yong dao 	用到	c=3 d=6.51545e-08 t=35298
yong guo 	用過	c=2 d=1.38856e-09 t=35298
yong hu 	用戶	c=194 d=6.05808 t=35298
yong hu e 	用戶額	c=2 d=1.88692 t=31630
yong hu ju 	用戶局	c=1 d=1.45198e-05 t=35298
yong hu ming 	用戶名	c=5 d=2.61997e-12 t=35298
yong hu shu 	用戶數	c=1 d=9.02962e-06 t=35298
yong jiu xing 	永久性	c=1 d=1.48126e-34 t=35298
yong lai 	用來	c=10 d=0.00408677 t=35298
yong le 	用了	c=3 d=0.0119742 t=35298
yong pin 	用品	c=1 d=5.9349e-10 t=35298
yong qi 	勇氣	c=1 d=1.15702e-10 t=35298
yong shi 	用時	c=1 d=3.19092e-33 t=35298
yong wan 	用完	c=2 d=5.77146e-05 t=35298
yong yong 	用用	c=2 d=3.04481e-11 t=35298
yong you 	擁有	c=1 d=7.2625e-32 t=35298
yong yu 	用於	c=3 d=0.00609675 t=35298
yong yuan 	永遠	c=2 d=0.1764 t=35298
you 	又	c=53 d=0.504974 t=35298
you 	友	c=6 d=3.11276e-06 t=35298
you 	右	c=1 d=0.551563 t=35298
you 	有	c=230 d=3.30699 t=35298
you 	油	c=1 d=1.01826e-07 t=35298
you 	由	c=1 d=2.79041e-14 t=35298
you bei 	有備	c=4 d=1.58981e-12 t=35298
you bei er lai 	有備而來	c=2 d=1.66648e-08 t=35298
you bing 	有病	c=1 d=9.07643e-08 t=35298
you bu 	又不	c=0 d=9.63901e-40 t=35298
you bu de ni 	由不得你	c=1 d=7.29888e-32 t=35298
you bu shi 	又不是	c=2 d=2.74935e-16 t=35298
you cai 	油菜	c=1 d=2.89374e-30 t=35298
you cai hua 	油菜花	c=1 d=2.69811e-30 t=35298
you chi 	有吃	c=1 d=8.27241e-05 t=35298
you chu 	郵儲	c=1 d=3.31381e-07 t=35298
you ci 	有次	c=1 d=1.97757e-22 t=35298
you dai kuan 	有貸款	c=1 d=8.32518e-21 t=35298
you dao 	又到	c=2 d=2.32672e-23 t=35298
you de 	有的	c=2 d=0.00509242 t=35298
you dian 	有點	c=21 d=0.0197421 t=35298
you dian gao 	有點高	c=1 d=5.84538e-37 t=35298
you du 	有毒	c=1 d=2.26965e-25 t=35298
you dui xiang 	有對象	c=1 d=0.00112497 t=35298
you er 	誘餌	c=1 d=0.00396598 t=35298
you ge 	有個	c=17 d=0.85119 t=35298
you ge yi 	有個一	c=1 d=0.000359787 t=35298
you hao 	友好	c=1 d=2.58836e-12 t=35298
you he 	有何	c=1 d=6.28456e-07 t=35298
you hou 	油喉	c=1 d=0.00159641 t=35298
you hua 	優化	c=27 d=0.0162512 t=35298
you hui 	優惠	c=7 d=0.000325555 t=35298
you hui quan 	優惠券	c=7 d=0.110251 t=35298
you ji 	郵寄	c=1 d=3.47825e-18 t=35298
you ji shu 	有技術	c=1 d=1 t=34097
you jian 	右鍵	c=5 d=0.0020883 t=35298
you jian 	郵件	c=2 d=1.85988e-07 t=35298
you jian ai ni 	郵件愛你	c=1 d=1 t=32660
you kong 	有空	c=17 d=0.0821113 t=35298
you lai le 	又來了	c=0 d=0.000141589 t=35298
you lai le ge 	又來了個	c=1 d=0.00142298 t=35298
you le 	有了	c=2 d=1.59994e-29 t=35298
you ma 	有嗎	c=1 d=0.00431784 t=35298
you mei you 	有沒有	c=13 d=0.225373 t=35298
you meng 	友盟	c=1 d=2.19345e-35 t=35298
you mo 	幽默	c=4 d=0.000550059 t=35298
you qian 	有錢	c=3 d=0.000640933 t=35298
you qian de 	有錢的	c=1 d=5.70025e-06 t=35298
you qian ren 	有錢人	c=1 d=1.20712e-38 t=35298
you qu 	又去	c=2 d=1.01301e-05 t=35298
you qu 	有去	c=1 d=3.19928e-05 t=35298
you ren 	有人	c=7 d=0.0217096 t=35298
you sha 	有啥	c=5 d=0.00166989 t=35298
you shang 	友商	c=2 d=7.23319e-35 t=35298
you sheng lie tai 	優勝劣汰	c=1 d=1 t=33566
you sheng zhi nian 	有生之年	c=1 d=3.81178e-07 t=35298
you shi 	優勢	c=1 d=0.12307 t=35298
you shi 	又是	c=7 d=0.00790706 t=35298
you shi hou 	有時候	c=2 d=0.0263839 t=35298
you tiao 	油條	c=1 d=1.14804e-36 t=35298
you wen ti 	有問題	c=3 d=1.57344e-09 t=35298
you xi 	遊戲	c=28 d=0.25985 t=35298
you xi 	🎮	c=1 d=2.23586e-25 t=35298
you xian 	優先	c=2 d=1.10841e-05 t=35298
you xian 	有限	c=2 d=1.82933e-17 t=35298
you xian ji 	優先級	c=2 d=8.16175e-23 t=35298
you xiang 	郵箱	c=12 d=1.8781 t=35298
you xiao 	有效	c=25 d=0.0306952 t=35298
you xie 	有些	c=3 d=0.00416934 t=35298
you xie ren 	有些人	c=1 d=1.64189e-10 t=35298
you xiu 	優秀	c=1 d=2.504e-34 t=35298
you xu 	有序	c=1 d=7.48364e-32 t=35298
you yao 	又要	c=3 d=0.000133688 t=35298
you yi ci 	有一次	c=1 d=7.49029e-13 t=35298
you yi ge 	有一個	c=3 d=0.00290884 t=35298
you yi si 	有意思	c=1 d=4.81647e-24 t=35298
you yong 	有用	c=3 d=6.82562e-08 t=35298
you you 	又有	c=1 d=1 t=31980
you yu 	由於	c=10 d=0.56836 t=35298
you zai 	又在	c=5 d=4.51888e-09 t=35298
you zhong 	有種	c=1 d=1.88631e-25 t=35298
you zhuan 	右轉	c=1 d=0.00286553 t=35298
you zi 	柚子	c=1 d=2.76114e-37 t=35298
yu 	於	c=6 d=3.49967e-12 t=35298
yu 	玉	c=2 d=7.65959e-33 t=35298
yu 	與	c=4 d=0.66034 t=35298
yu 	雨	c=3 d=1.33389e-07 t=35298
yu 	預	c=1 d=1 t=34935
yu 	魚	c=4 d=0.728909 t=35298
yu dao 	遇到	c=6 d=0.000894138 t=35298
yu e 	餘額	c=14 d=0.0393602 t=35298
yu fa 	愈發	c=1 d=7.94912e-36 t=35298
yu fa 	語法	c=4 d=5.20136e-07 t=35298
yu fang 	預防	c=1 d=3.74012e-19 t=35298
yu he 	癒合	c=1 d=0.00199922 t=35298
yu jian 	遇見	c=1 d=0.116484 t=35298
yu ju 	語句	c=7 d=0.000324468 t=35298
yu kuai 	愉快	c=1 d=3.6965e-28 t=35298
yu long 	魚龍	c=1 d=7.31904e-35 t=35298
yu lun 	輿論	c=1 d=0.000443861 t=35298
yu mi 	玉米	c=1 d=2.72522e-30 t=35298
yu ming 	域名	c=8 d=0.000668818 t=35298
yu qi 	逾期	c=1 d=2.14783e-23 t=35298
yu qi 	預期	c=1 d=9.15332e-19 t=35298
yu que 	語雀	c=1 d=2.58696e-35 t=35298
yu shi 	遇事	c=0 d=0.000138785 t=35298
yu shi bu jie 	遇事不解	c=1 d=0.00139481 t=35298
yu shi wu zheng 	與世無爭	c=1 d=8.54033e-27 t=35298
yu wang 	慾望	c=2 d=0.360595 t=35298
yu xian 	預先	c=0 d=0.1 t=32005
yu xian diao yan 	預先調研	c=1 d=1 t=32006
yu yan 	語言	c=4 d=1.30322e-09 t=35298
yu yin 	語音	c=1 d=1 t=33043
yu yue 	愉悅	c=1 d=0.0015648 t=35298
yu yue 	預約	c=5 d=0.0457839 t=35298
yuan 	元	c=22 d=0.243496 t=35298
yuan 	原	c=7 d=0.236584 t=35298
yuan 	員	c=0 d=1.32584e-25 t=35298
yuan 	媛	c=1 d=5.81421e-33 t=35298
yuan 	源	c=1 d=4.14205e-14 t=35298
yuan 	遠	c=1 d=0.00035443 t=35298
yuan 	院	c=2 d=1.24119e-32 t=35298
yuan ben 	原本	c=1 d=7.63743e-36 t=35298
yuan cheng 	遠程	c=1 d=0.000314351 t=35298
yuan di 	原地	c=1 d=1 t=32468
yuan gong 	員工	c=6 d=2.80706e-18 t=35298
yuan lai 	原來	c=2 d=0.00603608 t=35298
yuan long ping 	袁隆平	c=1 d=3.25262e-23 t=35298
yuan ma 	源碼	c=1 d=1.30117e-09 t=35298
yuan shen 	原神	c=4 d=0.20801 t=35298
yuan sheng 	原生	c=4 d=0.0858632 t=35298
yuan su 	元素	c=8 d=0.0323873 t=35298
yuan xing 	圓形	c=1 d=2.22433e-23 t=35298
yuan yang 	原樣	c=1 d=1.16703e-23 t=35298
yuan yin 	原因	c=7 d=0.573537 t=35298
yuan you 	原有	c=1 d=0.100259 t=35298
yue 	月	c=68 d=0.220633 t=35298
yue 	約	c=1 d=0.000122794 t=35298
yue 	越	c=5 d=0.319819 t=35298
yue di 	月底	c=5 d=1.04963e-11 t=35298
yue ding 	約定	c=1 d=4.56026e-28 t=35298
yue du 	月度	c=1 d=1 t=34986
yue fen 	月份	c=24 d=7.7548e-07 t=35298
yue gao 	越高	c=1 d=2.31755e-06 t=35298
yue ji 	越級	c=1 d=6.86447e-16 t=35298
yue kan 	越看	c=1 d=0.318224 t=35298
yue lai 	越來	c=1 d=0.0963276 t=35298
yue lai yue shao 	越來越少	c=1 d=1.80025e-05 t=35298
yue qiu 	月球	c=1 d=3.81373e-13 t=35298
yue ru 	月入	c=3 d=3.08281e-09 t=35298
yue xin 	月薪	c=1 d=0.000280202 t=35298
yun 	殞	c=0 d=0.000179097 t=35298
yun 	運	c=1 d=6.4603e-08 t=35298
yun 	雲	c=7 d=0.839457 t=35298
yun fei 	運費	c=4 d=0.00644147 t=35298
yun fei quan 	運費券	c=1 d=4.90108e-23 t=35298
yun mu 	韻母	c=1 d=8.41032e-23 t=35298
yun nan bai yao 	雲南白藥	c=1 d=0.00110269 t=35298
yun pan 	雲盤	c=2 d=2.8025e-06 t=35298
yun shan fu 	云闪付	c=5 d=0.265699 t=35298
yun shi ji jia 	殞世機甲	c=3 d=0.0271917 t=35298
yun wei 	運維	c=2 d=2.49388e-08 t=35298
yun xing 	運行	c=6 d=2.82065e-07 t=35298
yun xu 	允許	c=1 d=0.00169512 t=35298
yun ying 	運營	c=4 d=9.90726e-09 t=35298
yun ying shang 	運營商	c=2 d=0.0207543 t=35298
z m 	[皱眉]	c=9 d=1.0722e-22 t=35298
za 	咋	c=2 d=8.52723e-09 t=35298
za ban 	咋辦	c=1 d=7.8135e-10 t=35298
za de 	咋的	c=2 d=1.86437e-05 t=35298
za si 	砸死	c=1 d=0.000437252 t=35298
zai 	再	c=59 d=1.10212 t=35298
zai 	在	c=153 d=0.678748 t=35298
zai 	載	c=1 d=1.39547e-38 t=35298
zai ci 	再次	c=7 d=0.362402 t=35298
zai gao 	在搞	c=1 d=3.09082e-11 t=35298
zai jia 	在家	c=3 d=4.89693e-13 t=35298
zai kan 	再看	c=2 d=3.16853e-09 t=35298
zai la 	再拉	c=1 d=4.66286e-25 t=35298
zai lai 	再來	c=1 d=1.1151e-17 t=35298
zai li mian 	在里面	c=1 d=3.39008e-10 t=35298
zai nong ge 	在弄個	c=1 d=6.47815e-11 t=35298
zai qu 	再去	c=4 d=0.00568457 t=35298
zai ru 	載入	c=3 d=0.22313 t=35298
zai shuo 	再說	c=2 d=0.000117979 t=35298
zai wo 	在我	c=2 d=2.49542e-23 t=35298
zai xian 	在線	c=1 d=1.90859e-16 t=35298
